deal_title,investor_company,investor_role,investment_amount_usd
AtlasXomics — Early Stage VC (2024-07),"Broadfield Capital, Connecticut Innovations, Elm Street Ventures, National Institutes of Health, Spring Mountain Capital, U.S. Department of Health and Human Services, Yale University",PARTICIPANT,
ObvioHealth — Later Stage VC (2024-07),"Ayala (Makati), Dedalus, Guardant Health, IQVIA, Marbruck Investments, Novotech, SPRIM Global Investments, Tikehau Capital, Tikehau Investment Management",PARTICIPANT,
AugMend Health — Early Stage VC (2024-07),"Harvard Innovation Launch Lab, Massachusetts Institute of Technology, MIT Delta V, SBXi",PARTICIPANT,
Leuko — Grant (2024-07),"Blue Goose Capital, Center of Future Technologies in Cancer Care, Dorm Room Fund, Good Growth Capital, Health Technology Holding, IAG Capital Partners, Innospark Ventures, JMC Investment, Little Green Bamboo Capital, Madrid-MIT M+Visión Consortium, MassChallenge, MassVentures, MIT Delta V, MIT Sandbox, Namarel Ventures, National Cancer Institute, National Institutes of Health, Nina Capital, Peak Thomas, Pegasus Tech Ventures, Sanitas Disruptive, SBXi, Wallace H. Coulter Foundation",PARTICIPANT,
K Health — Later Stage VC (2024-07),"10H Capital, 14W, Adam Singolda, AI Venture Labs, Atreides Management, Beyonce Knowles-Carter, BlackPine Group, Bong Koh, BoxGroup, Buono Ventures, Cedars Sinai Health Ventures, Claure Group, Comcast Ventures, Elevance Health, Empire Group International, Errol Damelin, Gal Gadot, Jaron Varsano, Kaiser Permanente Ventures, Lerer Hippeau, LTS Investments, Mangrove Capital Partners, MarcyPen Capital Partners, Max Ventures, Nathaniel Turner, Notable Capital, Pablo Legorreta, PICO Venture Partners, Primary Venture Partners, Social Discovery Group, TriplePoint Capital, Valor Equity Partners",PARTICIPANT,
Mangrove Management Partners — Debt - General (2024-07),"Altos Health, NewSpring Capital, Robert Bessler, Wells Fargo Strategic Capital",PARTICIPANT,
Envisagenics — Later Stage VC (2024-07),"Accelerate Long Island, Breakout Labs, Bristol-Myers Squibb, Cosine (New York), Dolby Family Ventures, Dynamk Capital, Empire Company, Empire State Development, Gillian Sandler, Hawktail, Hemai Parthasarathy, Julia Moore, M12, Madrona Venture Group, Myeloma Investment Fund, National Cancer Institute, National Institute of General Medical Sciences, National Institutes of Health, New York Ventures, Red Cell Partners, SV Angel, Third Kind Venture Capital, Topspin Consumer Partners, Upsher Management Company",PARTICIPANT,
Geriatric Medical and Surgical Supply — Debt - Acquisition (2024-07),Silver Oak Services Partners,PARTICIPANT,
Clear Health — Early Stage VC (2024-07),"Launch Tennessee, Mana Ventures, XRC Ventures",PARTICIPANT,
VSee Health (NAS: VSEE) — Secondary Transaction - Open Market (2024-07),Digital Health Acquisition,PARTICIPANT,
Sesame (Managed Care) — Secondary Transaction - Private (2024-07),"Alumni Ventures, Atreides Management, Coefficient Capital, Entrée Capital, FMZ ventures, General Catalyst, Giant Ventures, GV, Industry Ventures, Polaris Founders Capital, TeleSoft Partners, Valor Equity Partners, Virgin (London)",PARTICIPANT,
OhMD — Seed Round (2024-07),"Ben Uretsky, Blueprint Health, Chris Scott, Dudley Fund, Eideard Venture Capital, FCA Venture Partners, GE HealthCare Technologies, Marathon Health, Mike Lane, Mitch Wainer, OpenTempo, Scott Gale, VCET Capital",PARTICIPANT,
Therapymatch — Later Stage VC (2024-07),"Accel, Andreessen Horowitz, Clover Health Investments, Everywhere Ventures, Flatiron, Forerunner Ventures, Gershon Capital, Global Founders Capital, GV, Health Care Service Corporation, Homebrew Management, IA Ventures, Lowe's Innovation Labs, Nathaniel Turner, North 50 Venture Capital, One Medical (Clinics/Outpatient Services), Prehype, Spark Capital, The Finger Group, Thrive Capital, Watershed Collective, Wormhole Capital",PARTICIPANT,
Earned Wealth Advisors — Early Stage VC (2024-07),"Breyer Capital, Hudson Structured Capital Management, Juxtapose, R2 Ventures, Silversmith Capital Partners, Summit Partners",PARTICIPANT,
Wesper — Later Stage VC (2024-07),"Abstract Ventures, AgeTech Collaborative, Aphelion Capital, Breyer Capital, Brooklyn Bridge Ventures, CareQuest Innovation Partners, Ceros Capital Markets, Ceros Financial Services, Correlation Ventures, Endless Frontier Labs, Hatteras Venture Partners, Krillion Ventures, Nathaniel Turner, New York Ventures, Pentland Brands, Pentland Ventures, Runway Startup Postdoc, Spark Capital, Valor Equity Partners",PARTICIPANT,
Courier Health — Early Stage VC (2024-07),"Norwest, Work-Bench",PARTICIPANT,
Heartbeat Health — Later Stage VC (2024-07),".406 Ventures, American College of Cardiology Foundation, Chicago Pacific Founders, Cressey & Company, DaVita Venture Group, Designer Fund, Echo Health Ventures, Eli Lilly, Ensemble Labs, iRhythm Technologies, Kindred Ventures, Lerer Hippeau, LG Nova, Max Ventures, Optum Ventures, Plug and Play Tech Center, Silas Capital, Techammer",PARTICIPANT,
Activate Care — Later Stage VC (2024-07),"Harvard Innovation Launch Lab, MassChallenge, Rose Park Advisors, Village Capital",PARTICIPANT,
Retia Medical — Later Stage VC (2024-07),"BioInc@NYMC, Fresenius Medical Care Ventures, PV Capital Management, Red Cedar Ventures",PARTICIPANT,
Akili Interactive — Merger/Acquisition (2024-07),Mirae Asset Global Investments (USA),PARTICIPANT,
Focus Medical — Later Stage VC (2024-07),Orbit Venture Partners,PARTICIPANT,
Guardian Angel Senior Services — Buyout/LBO (2024-07),Arcus Healthcare Partners,PARTICIPANT,
Ro — Debt - General (2024-07),"3L Capital, Aaron Harris, Alpha Partners, Altimeter Capital Management, Ambush Capital, B&Y Venture Partners, BlackRock, Blue 9 Capital, BoxGroup, Canaan Partners, Chapter One, ClearBridge Investments, Coatue Management, Counterpoint Global, CPP Investments, David Morin, Designer Fund, Dragoneer Investment Group, Elizabeth Wessel, ESM Ventures (California), Evolution VC Partners, FirstMark Capital, Flucas Ventures, Franklin Templeton Investments United Kingdom, Freya Ventures, G9 Ventures, Gaingels, General Catalyst, Gershon Capital, Greenoaks Capital Partners, Initialized Capital, Insight Partners (New York), J Ventures, Jonathan Keidan, Jordan French, KBW Ventures, Lee Linden, Leonis Capital, Litani Ventures, Matt Meeker, Mosaic General Partnership, Niche Capital (San Francisco), OurCrowd, Peter Boyce, Philip Krim, Pill Pack, Plug and Play Tech Center, Prehype, PROOF, Quiet Capital, R2 Ventures, Radcliffe Capital Management, Regah Ventures, Rosecliff Venture Partners, Rotor Capital, Sand Hill Angels, Scott Belsky, Seek Ventures, Seven Seven Six, ShawSpring Partners, Sherpalo Ventures, SignalFire, Slow Ventures, Strategxy Ventures, Structure Capital, Synetro Group, T. Rowe Price Group, The Baupost Group, The Chernin Group, The Finger Group, The House Fund, Tiger Global Management, Timothy Parker, Torch Capital, TQ Ventures, Tusk Venture Partners, UC Investments, Vinthera, Wanxiang Healthcare Investments, Whale Rock Capital Management, Zachary Sims",PARTICIPANT,
Vi Labs — Later Stage VC (2024-06),"Alpha Partners, Anfield Ltd, Cerca Partners, Corundum Neuroscience, FGI Capital Partners, FinTech Global, General Atlantic, J.P. Morgan (New York), New Era Capital Partners, Savano Capital Partners, Skywell Capital Partners, Square Peg Capital, Thomas Glocer, Triventures",PARTICIPANT,
Verisense Health — Early Stage VC (2024-06),Taisu Ventures,PARTICIPANT,
TALON — Later Stage VC (2024-06),"Andrew Jay, Charlie Snell, Geoff Devine, Laurie Fontaine, Lawrence Gray, Mark Duggan, Mark Weidman, Michael Daigle, Ofer Nemirovsky, Planet Broadband, W3 Capital",PARTICIPANT,
Heyday Health — Later Stage VC (2024-06),"Alphabet, Great Oaks Venture Capital, Kate Ryder, Youngstown Business Incubator",PARTICIPANT,
VistaPath — Later Stage VC (2024-06),"Ben Pouladian, First Star Ventures, Moxxie Ventures, NextGen Venture Partners, Olima Ventures, Philips HealthWorks, Scribble Ventures, Spero Ventures, ValueStream Ventures, Walnut Ventures",PARTICIPANT,
CARA — Early Stage VC (2024-06),"Forum Ventures, NYU Entrepreneurial Institute, Right Side Capital Management, U. S. National Science Foundation",PARTICIPANT,
ProJenX — Grant (2024-06),"Medical Excellence Capital, The ALS Association",PARTICIPANT,
Talkiatry — Later Stage VC (2024-06),"Andreessen Horowitz, blisce/, Gaingels, General Catalyst, GreyMatter (US), Innate Capital Partners, Left Lane Capital, Perceptive Advisors, Relevance Ventures, Richard Park, Sikwoo Capital Partners, TheKey (La Jolla), Transform Capital (San Francisco), Y Combinator",PARTICIPANT,
Villagers.health — Early Stage VC (2024-06),Loyal VC,PARTICIPANT,
Nomad Health — Later Stage VC (2024-06),".406 Ventures, Adams Street Partners, AlleyCorp, California Health Care Foundation, Company Ventures, First Round Capital, HealthQuest Capital, Icon Ventures, Polaris Partners, RRE Ventures, SVB Financial Group, Trinity Capital (Phoenix)",PARTICIPANT,
Princeton Medspa Partners — Debt - Acquisition (2024-06),"BC Partners, Princeton Equity Group, Resolute Capital Partners",PARTICIPANT,
Rumi Scientific — Grant (2024-06),"National Institutes of Health, National Institutes of Mental Health, QB3, U. S. National Science Foundation, United States Department of War",PARTICIPANT,
Cresso Health — PE Growth/Expansion (2024-06),Cypress Ridge Capital,PARTICIPANT,
Piction Health — Seed Round (2024-06),"10X Venture Partners, Allatus Ventures, Alumni Ventures, Andrew Feinberg, Andrew Palmer, Argon Ventures, Bayless Ventures, Carnrite Ventures, Elizabeth Lawler, Esther Dyson, Flare Capital Partners, Gaugarin Oliver, Good For Her, Good Growth Capital, Gutbrain Ventures, Hawktail, Headwater Ventures, Huat Ventures, Impellent Ventures, James Stone, Jemison Alexander, Koa Labs, Launchpad Venture Group, MassChallenge, milemark.capital, Plug and Play Tech Center, Rajeev Surati, Robert Davoli, Robert Mason, SBXi, Service Provider Capital, Springboard Enterprises, StartX (US), TBD Angels, Team Ignite Ventures, Techstars, UCSF Rosenman Institute, William Crawford, Wire Group (Massachusetts), WXR Venture Fund",PARTICIPANT,
Talcott (Farmington) — Buyout/LBO (2024-06),Seven Springs Partners,PARTICIPANT,
Maternova — Later Stage VC (2024-05),"Grand Challenges Canada, Impact Assets, Kelly Ramirez, MassChallenge, Mentor Capital Network, Merck & Co., Michael Putnam, NYU Impact Investment Fund, Rob Panoff, SEVEN Fund, Social Enterprise Greenhouse, Social Venture Partners, Stuart Macdonald",PARTICIPANT,
Medicus Healthcare Solutions — Buyout/LBO (2024-05),"BPOC, PNC Erieview Capital, Ridgemont Equity Partners",PARTICIPANT,
HouseWorks — Debt - Acquisition (2024-05),"BPEA Private Equity, InTandem Capital Partners",PARTICIPANT,
Ject — Buyout/LBO (2024-05),"ACE & Company (Geneva), Snapdragon Capital",PARTICIPANT,
Elderhood — Seed Round (2024-05),"Adjacent (New York), HDS Capital, Primetime Partners, Twelve Below",PARTICIPANT,
Emora Health — Seed Round (2024-05),"Javelin Venture Partners, TA Ventures",PARTICIPANT,
Zocdoc — Debt Refinancing (2024-05),"Alexander Capital Ventures, Alpha Protocol Ventures, Atomico, Baillie Gifford, Bezos Expeditions, Blue Collective, Buttonwood Group Advisors, CAZ Investments, DST Global, Eden Global Partners, Equable Capital, Founders Fund, Francisco Partners, Francisco Pérez, Georges Harik, Healthcare Equity Angels, Hedosophia, Jeffrey Bezos, Jonathan Keidan, Jonathan Smidt, Khosla Ventures, Lighthouse Capital Partners, Manhattan Venture Partners, Marc Benioff, Open Field Capital, Ronald Conway, Rosecliff Venture Partners, Saints Capital, Shaun Abrahamson, Snow Fox Partners, Star Tech NG, SV Angel, SXM Global, Teamworthy Group, The Finger Group, The Goldman Sachs Group, Thomas Lehrman, Titan Partners, Torch Capital, Vast Ventures, Vibora Capital, Vinod Khosla",PARTICIPANT,
Roadmap (Clinics/Outpatient Services) — Grant (2024-05),"CREATE-X, Koffman Southern Tier Incubator, Microsoft",PARTICIPANT,
First Fertility — Debt - Acquisition (2024-05),Sverica Capital Management,PARTICIPANT,
Metabolic Solutions — Buyout/LBO (2024-05),"Anacapa Partners, Cedrus Fund, Cerralv Capital, Endurance Search Partners, Trilogy Search Partners, WSC & Company",PARTICIPANT,
Opmed.ai — Early Stage VC (2024-05),"Danielle Yanai, Deloitte Launchpad, Dynamic Loop Capital, Grove Ventures, Launch It Capital, Mercer Ventures (New York), NFX, Operator Partners, Ronald Cohen, Secret Chord, Simon Legziel, Unbox ventures",PARTICIPANT,
Acertis Pharmaceuticals — Secondary Transaction - Private (2024-05),Linden (Chicago),PARTICIPANT,
Nira Medical Group — PE Growth/Expansion (2024-05),"JSL Health Capital, Silversmith Capital Partners, SV Health Investors, Transformation Capital",PARTICIPANT,
Remepy — Seed Round (2024-05),"97212 Ventures, Firstime, Fresh.Fund, NFX, PsyMed Ventures, Samsung NEXT Ventures, StageNext Fund, Supernode Ventures, TechAviv Founder Partners, Vine Ventures, Vine Ventures (New York)",PARTICIPANT,
Transformations Care Network — PE Growth/Expansion (2024-05),"Resolute Capital Partners, Shore Capital Partners",PARTICIPANT,
Viventium — Secondary Transaction - Private (2024-05),LLR Partners,PARTICIPANT,
CellTivity Scientific — Later Stage VC (2024-04),"AMBASSADE DE FRANCE EN ISRAËL, Ceros Capital Markets, European Union, HealthTech Capital, Institut National du Cancer, L'Agence Nationale de la Recherche, Laureate Capital Co, SternAegis Ventures, Tech Council Ventures",PARTICIPANT,
Galileo (Clinics/Outpatient Services) — Later Stage VC (2024-04),"10X Capital, 8VC, Boom Capital Ventures, Ceteri Capital, DNA Capital (Investor), Equable Capital, Foresite Capital, Founders' Co-op, Gaingels, GV, Humbition, Jonathan Smidt, Lifeforce Capital, Lux Capital, McKesson Ventures, Nathaniel Turner, Next Coast Ventures, Oak HC/FT, Oak Investment Partners, Obvious Ventures, Optum Ventures, PeopleTech Partners, Pistole Labs, Redpoint Ventures, SemperVirens Venture Capital, VamosVentures, What If Ventures",PARTICIPANT,
Jivika — Seed Round (2024-04),"New York University Stern School of Business Endowment, NYU Summer Launchpad, The Stern Venture Fellows",PARTICIPANT,
Summer Health — Early Stage VC (2024-04),"7wire Ventures, Alyssa Jaffee, Amira Yahyaoui, Andrew Dudum, BoxGroup, Chelsea Clinton, Coalition Operators, Deena Shakir, Ingeborg Investments, K5 Global, Karman Ventures, Kate Ryder, Leaps by Bayer, Lux Capital, Metrodora Ventures, Pivotal Ventures, Sequoia Capital, Shrug Capital, Springbank Collective, UCSF Rosenman Institute",PARTICIPANT,
Auxa Health — Seed Round (2024-04),"AlleyCorp, Chaac Ventures, K50 Ventures, Laconia Capital Group, Zeal Capital Partners",PARTICIPANT,
Qlaris Bio — Early Stage VC (2024-04),"Aberdeen Investments (Scotland), Canaan Partners, Correlation Ventures, Mayo Clinic, Mayo Clinic Ventures, New Leaf Venture",PARTICIPANT,
Skylark Bio — Early Stage VC (2024-04),ARCH Venture Partners,PARTICIPANT,
Circuit Clinical — Later Stage VC (2024-04),"43North, Charles Lannon, First Trust Capital Partners, Labcorp Venture Fund, Launch NY, Medidata, Primark Capital, Rochester Angel Network, University at Buffalo, WNY Impact Investment Fund, Zachary Schneider",PARTICIPANT,
Playback Health — Seed Round (2024-04),"A1 Health Ventures, Accelerate Long Island, Northwell Holdings",PARTICIPANT,
Avava — Later Stage VC (2024-04),"Catalio Capital Management, Craig Drill, Jeisys Medical",PARTICIPANT,
Binx — Later Stage VC (2024-04),"Alta Life Sciences, ArrowMark Partners, Bespak, EQT, EQT Life Sciences, Guangzhou Wondfo Biotech, Hildred Capital Partners, Innovate UK, Johnson and Johnson JJDC, National Institute for Health and Care Research, Novartis Venture Fund, OrbiMed, Parian Global Management, Recipharm, South West Regional Development Agency, Technology Venture Partners UK, Truetide, U.K. Department of Health & Social Care, University of Bath, Wellcome Trust",PARTICIPANT,
Etiometry — Later Stage VC (2024-04),"Shamrock Holdings, Shepherd Kaplan Krochuk, U.S. Department of Health and Human Services, United States Department of War",PARTICIPANT,
FitSkin — Later Stage VC (2024-04),Ripple Impact Investments,PARTICIPANT,
Jaide Health — Seed Round (2024-04),"Flare Capital Partners, Innovation Global Capital, Inovia Capital",PARTICIPANT,
BioVentrix — Later Stage VC (2024-03),"Cormorant Asset Management, Don Douglas, Double D Venture, Psilos Group Managers, Squarepoint Capital, Taglich Brothers, Telegraph Hill Partners, Waveland Capital Group",PARTICIPANT,
Baton Health — Seed Round (2024-03),"Redesign Health, Robin Hood Ventures, SVB Capital",PARTICIPANT,
